"","company","site","reporting.year","county","product.description","co","nox","pm10","pm2.5","so2","voc"
"145","TRANSWESTERN PIPELINE  COMPANY","KEYSTONE COMPRESSOR STATION",2015,"WINKLER","NATURAL GAS TRANSMISSION",112.96,67.12,0.58,0.58,0.02,1.561
"146","OXY USA WTP LP","EL CAPITAN PUMP STATION",2015,"WINKLER","CRUDE PETROLEUM & NATURAL GAS",13.2811,110.8568,0.2471,0.2471,0,1.4694
"147","UPHAM OIL & GAS CO","UPHAM CHICO GAS PLANT",2015,"WISE","CRUDE PETROLEUM & NATURAL GAS",0,0,0,0,0,0
"148","TARGA MIDSTREAM SERVICES LLC","BRANNON COMPRESSOR",2015,"WISE","CRUDE PETROLEUM & NATURAL GAS",5.554,17.28,0.85,0.85,0.024,16.6154
"149","NATURAL GAS PIPELINE CO OF AMERICA LLC","COMPRESSOR STATION 155",2015,"WISE","NATURAL GAS TRANSMISSION",1.2663,0.7727,0.0066,0.0066,2e-04,15.501
"150","ENLINK MIDSTREAM SERVICES LLC","LATERAL H-98 COMPRESSOR",2015,"WISE","CRUDE PETROLEUM & NATURAL GAS",2.0847,28.2124,0.0923,0.0923,0.0028,2.1408
"151","ENLINK MIDSTREAM SERVICES LLC","ASHCROFT B27",2015,"WISE","CRUDE PETROLEUM & NATURAL GAS",24.4038,26.8751,0.2125,0.2125,0.0064,2.3767
"152","ENLINK MIDSTREAM SERVICES LLC","LATERAL B-20 COMPRESSOR STATION",2015,"WISE","CRUDE PETROLEUM & NATURAL GAS",25.2864,31.5413,0.007,0.007,0.0535,13.1173
"153","AETHON ENERGY OPERATING LLC","SWEETWATER CREEK GAS PLANT",2015,"WISE","CRUDE PETROLEUM & NATURAL GAS",35.3233,35.3989,0.4838,0.4838,0.0999,24.8623
"154","ENLINK MIDSTREAM SERVICES LLC","MEADOWS COMPRESSOR STATION",2015,"WISE","CRUDE PETROLEUM & NATURAL GAS",2.9091,41.1157,0.1299,0.1299,0.0039,1.7001
"155","ENLINK MIDSTREAM SERVICES LLC","LATERAL B-119 COMPRESSOR STATION",2015,"WISE","CRUDE PETROLEUM & NATURAL GAS",16.1832,10.9494,0.4063,0.4063,0.0252,10.7148
"156","DEVON ENERGY PRODUCTION COMPANY LP","BURRESS ETTA 5H",2015,"WISE","CRUDE PETROLEUM & NATURAL GAS",0,0,0,0,0,6.9218
"157","ARUBA PETROLEUM INC","JORDAN SMITH 1H 2H & 3H",2015,"WISE","CRUDE PETROLEUM & NATURAL GAS",5.4858,0.7676,0.1486,0.1486,0.0045,18.5778
"158","DEVON ENERGY PRODUCTION COMPANY LP","MILLER M C 4H",2015,"WISE","CRUDE PETROLEUM & NATURAL GAS",0.5697,0.5697,0.0799,0.0799,0,14.5574
"159","PECAN PIPELINE COMPANY","GREENWOOD COMPRESSOR STATION",2015,"WISE","CRUDE PETROLEUM & NATURAL GAS",41.8224,35.4681,2.7101,2.7101,1.461,61.297
"160","ARUBA PETROLEUM INC","BUCCI 1H & 2H",2015,"WISE","CRUDE PETROLEUM & NATURAL GAS",1.4588,0.2303,0.1524,0.1524,0.0046,13.3342
"161","ENERGY PRODUCTION CORPORATION","HAINESVILLE GAS PROCESSING PLANT",2015,"WOOD","NATURAL GAS LIQUIDS",16.8871,10.3599,1.4793,1.4793,0.004,15.8278
"162","WHITING OIL AND GAS CORPORATION","SABLE SAN ANDRES UNIT",2015,"YOAKUM","CRUDE PETROLEUM & NATURAL GAS",12.2446,2.5086,0.0656,0.0656,1.1371,23.9698
